id,job_title,skills,salary,location,date_of_post
1,Human Resources Manager,Phase II ESA,"€350977,26",Li’an,3/1/2021
2,VP Sales,FW,"€640792,68",Uddevalla,3/18/2021
3,Accountant IV,WFA,"€333484,19",Ararat,3/11/2021
4,Civil Engineer,LR,"€705768,89",Rappang,3/26/2021
5,Software Test Engineer I,PMO Services,"€577373,33",Acao,3/16/2021
6,Legal Assistant,FMCG,"€373525,68",Tocha,1/18/2021
7,Mechanical Systems Engineer,Efficent,"€756056,73",Devin,5/12/2021
8,Nurse,Allergic Rhinitis,"€93648,69",Iwye,1/27/2021
9,Staff Accountant III,Visual Effects,"€408867,67",Mindyak,2/10/2021
10,Data Coordiator,CNC Programming,"€655292,38",Kumalarang,5/30/2021
11,VP Quality Control,Shopper Marketing,"€158463,35",Mutengene,5/20/2021
12,Environmental Specialist,Nastran,"€223856,26",Penisihan,6/25/2021
13,Geological Engineer,Organic Chemistry,"€280046,05",Quebo,3/24/2021
14,Teacher,Award Submissions,"€580065,20",Noeltoko,2/1/2021
15,Recruiting Manager,Talent Booking,"€354305,28",Jinshan,3/19/2021
16,Biostatistician II,Portuguese,"€700271,72",Villa Ojo de Agua,2/1/2021
17,Media Manager I,DCF Valuation,"€216595,62",Marco,3/1/2021
18,Recruiter,Zachman,"€470303,65",Wailolong,6/23/2021
19,Civil Engineer,SFP,"€145792,29",Santa Ana,1/30/2021
20,General Manager,Practice CS,"€99622,63",Mgachi,5/30/2021
21,Compensation Analyst,Value Engineering,"€502772,43",Spétses,1/27/2021
22,Sales Representative,Eastern Europe,"€691593,07",Ilama,3/24/2021
23,Design Engineer,Post Production,"€776882,42",Zhanghua,3/6/2021
24,Senior Developer,Chronic Illness,"€742979,94",Jeleuk,4/4/2021
25,Editor,Deep Tissue Massage,"€369798,08",Guanmiao,6/25/2021
26,Director of Sales,DSI,"€406356,78",Murindó,1/26/2021
27,Nurse,SMTP,"€782769,65",Shabqadar,5/29/2021
28,Account Coordinator,Customer Service,"€597523,18",Waitara,5/6/2021
29,Teacher,Eagle PCB,"€576922,95",Bukavu,2/14/2021
30,Senior Financial Analyst,SAP,"€730754,43",Borkowice,6/9/2021
31,Help Desk Operator,Canon XH-A1,"€118949,95",Mouzáki,1/17/2021
32,Programmer Analyst I,DNS Server,"€278494,89",Itatuba,3/3/2021
33,Statistician III,CBEST,"€155954,63",Urbiztondo,2/18/2021
34,Database Administrator IV,LCS,"€446412,70",Kuzhu,2/14/2021
35,VP Sales,JSTOR,"€517829,61",Nice,1/27/2021
36,Professor,LME,"€678355,87",Nikulino,1/13/2021
37,Software Consultant,Tutoring,"€327973,59",Lefkímmi,3/24/2021
38,Administrative Assistant II,Gastroenterology,"€543941,87",Onueke,3/19/2021
39,Safety Technician II,Fluid Mechanics,"€491526,54",La Julia,1/27/2021
40,Accounting Assistant III,XML-RPC,"€418533,61",Charleston,6/13/2021
41,General Manager,Online Gambling,"€609906,85",Guohe,2/6/2021
42,Human Resources Assistant IV,DVD,"€694240,51",Calbuco,3/28/2021
43,Clinical Specialist,Object Oriented Modeling,"€224904,32",Tumen,4/9/2021
44,Senior Editor,GTK+,"€530079,82",Lamas,6/29/2021
45,Web Developer I,CBORD,"€312674,78",Felege Neway,1/18/2021
46,Developer IV,WSS 2.0,"€529384,75",Dallas,7/5/2021
47,Chemical Engineer,SVT,"€631250,24",George Town,1/9/2021
48,Civil Engineer,Forecasting,"€614248,36",Lens,1/10/2021
49,Registered Nurse,OnQ,"€448847,09",Vysoké Mýto,1/10/2021
50,VP Marketing,Performance Appraisal,"€691235,49",Kudang,5/3/2021
51,Structural Analysis Engineer,ODE,"€723638,16",Tenjolaya,5/24/2021
52,GIS Technical Architect,Flexo,"€528545,71",La Virginia,4/17/2021
53,Executive Secretary,ESRI,"€361743,30",Yaojiagou,5/4/2021
54,Food Chemist,IxChariot,"€652693,87",Bolondrón,2/12/2021
55,Civil Engineer,Kofax,"€318865,85",Nancy,5/6/2021
56,Junior Executive,OOS,"€480384,99",Pitumarca,3/6/2021
57,Account Representative I,Bash,"€393458,69",Um Jar Al Gharbiyya,5/1/2021
58,Sales Associate,Access,"€465503,44",El Paso,6/12/2021
59,Programmer Analyst IV,HMO,"€768098,68",Černý Most,4/12/2021
60,Director of Sales,TPNS,"€631970,96",Shiogama,3/20/2021
61,Human Resources Assistant I,Urban Forestry,"€165156,36",Kuršumlija,5/16/2021
62,Recruiter,Program Development,"€485290,86",Clondalkin,4/10/2021
63,Help Desk Technician,3D Visualization,"€157461,03",Příbor,2/8/2021
